network_type,sim_run,round,reach,forwarding_rate,mcr,false_reach_count,average_reputation
barabasi_albert,34,31,0.98,0.41836734693877553,0.41836734693877553,98,0.9306401185420999
barabasi_albert,34,32,0.98,0.2857142857142857,0.0,0,1.0656401185420998
barabasi_albert,34,33,1.0,0.66,0.0,0,1.3656401185420999
barabasi_albert,34,34,1.0,0.62,0.0,0,1.6606401185420998
barabasi_albert,34,35,1.0,0.67,0.0,0,1.6606401185420998
barabasi_albert,34,36,0.98,0.23469387755102042,0.0,0,1.7706401185420995
barabasi_albert,34,37,0.92,0.21739130434782608,0.21739130434782608,92,1.6739487538722415
barabasi_albert,34,38,0.99,0.5555555555555556,0.0,0,1.6739487538722415
barabasi_albert,34,39,0.92,0.21739130434782608,0.21739130434782608,92,1.6739487538722415
barabasi_albert,34,40,0.86,0.18604651162790697,0.18604651162790697,86,1.6102874723664757
barabasi_albert,34,41,0.98,0.46938775510204084,0.0,0,1.8202874723664757
barabasi_albert,34,42,0.86,0.18604651162790697,0.0,0,1.8952874723664757
barabasi_albert,34,43,1.0,0.65,0.65,100,1.4413003228123527
barabasi_albert,34,44,0.99,0.45454545454545453,0.45454545454545453,99,1.188916427812553
barabasi_albert,34,45,0.92,0.21739130434782608,0.0,0,1.278916427812553
barabasi_albert,34,46,0.99,0.5252525252525253,0.0,0,1.278916427812553
barabasi_albert,34,47,0.93,0.22580645161290322,0.0,0,1.3739164278125529
barabasi_albert,34,48,1.0,0.67,0.67,100,1.3739164278125529
barabasi_albert,34,49,0.86,0.11627906976744186,0.11627906976744186,86,1.3739164278125529
barabasi_albert,34,50,0.99,0.5252525252525253,0.5252525252525253,99,1.090105367077823
barabasi_albert,34,51,0.98,0.35714285714285715,0.0,0,1.090105367077823
barabasi_albert,34,52,0.97,0.28865979381443296,0.28865979381443296,97,1.090105367077823
barabasi_albert,34,53,0.99,0.3333333333333333,0.0,0,1.240105367077823
barabasi_albert,34,54,0.97,0.24742268041237114,0.0,0,1.355105367077823
barabasi_albert,34,55,0.98,0.25510204081632654,0.0,0,1.4751053670778231
barabasi_albert,34,56,0.86,0.11627906976744186,0.0,0,1.4751053670778231
barabasi_albert,34,57,0.86,0.11627906976744186,0.0,0,1.535105367077823
barabasi_albert,34,58,0.87,0.12643678160919541,0.0,0,1.535105367077823
barabasi_albert,34,59,0.98,0.4897959183673469,0.0,0,1.7601053670778228
barabasi_albert,34,60,1.0,0.54,0.0,0,1.7601053670778228
barabasi_albert,34,61,0.99,0.30303030303030304,0.0,0,1.7601053670778228
barabasi_albert,34,62,0.97,0.25773195876288657,0.0,0,1.7601053670778228
barabasi_albert,34,63,1.0,0.58,0.58,100,1.7601053670778228
barabasi_albert,34,64,0.86,0.12790697674418605,0.0,0,1.8251053670778228
barabasi_albert,34,65,0.99,0.30303030303030304,0.30303030303030304,99,1.6458906071294748
barabasi_albert,34,66,0.86,0.12790697674418605,0.12790697674418605,86,1.6458906071294748
barabasi_albert,34,67,0.97,0.422680412371134,0.422680412371134,97,1.4201737379939297
barabasi_albert,34,68,1.0,0.42,0.0,0,1.4201737379939297
barabasi_albert,34,69,0.83,0.1686746987951807,0.0,0,1.4201737379939297
barabasi_albert,34,70,0.86,0.18604651162790697,0.18604651162790697,86,1.3443076846541873
barabasi_albert,34,71,0.86,0.11627906976744186,0.11627906976744186,86,1.3443076846541873
barabasi_albert,34,72,0.98,0.42857142857142855,0.42857142857142855,98,1.1234952540304117
barabasi_albert,34,73,0.83,0.1686746987951807,0.0,0,1.1234952540304117
barabasi_albert,34,74,1.0,0.63,0.63,100,1.1234952540304117
barabasi_albert,34,75,1.0,0.43,0.43,100,1.1234952540304117
barabasi_albert,34,76,0.98,0.4897959183673469,0.0,0,1.1234952540304117
barabasi_albert,34,77,0.83,0.1686746987951807,0.1686746987951807,83,1.1234952540304117
barabasi_albert,34,78,1.0,0.57,0.57,100,1.1234952540304117
barabasi_albert,34,79,0.91,0.18681318681318682,0.18681318681318682,91,1.1234952540304117
barabasi_albert,34,80,0.91,0.2087912087912088,0.2087912087912088,91,1.0651514927151577
barabasi_albert,34,81,0.83,0.1686746987951807,0.0,0,1.0651514927151577
barabasi_albert,34,82,0.99,0.43434343434343436,0.0,0,1.2701514927151578
barabasi_albert,34,83,0.96,0.23958333333333334,0.23958333333333334,96,1.1492245707979876
barabasi_albert,34,84,0.92,0.21739130434782608,0.0,0,1.1492245707979876
barabasi_albert,34,85,0.99,0.43434343434343436,0.0,0,1.1492245707979876
barabasi_albert,34,86,0.89,0.1348314606741573,0.0,0,1.1492245707979876
barabasi_albert,34,87,0.97,0.26804123711340205,0.26804123711340205,97,1.1492245707979876
barabasi_albert,34,88,0.98,0.3877551020408163,0.0,0,1.1492245707979876
barabasi_albert,34,89,0.97,0.27835051546391754,0.0,0,1.2692245707979872
barabasi_albert,34,90,0.9,0.14444444444444443,0.0,0,1.2692245707979872
barabasi_albert,34,91,0.98,0.3163265306122449,0.0,0,1.2692245707979872
barabasi_albert,34,92,0.91,0.2087912087912088,0.0,0,1.3542245707979874
barabasi_albert,34,93,0.99,0.31313131313131315,0.0,0,1.4942245707979873
barabasi_albert,34,94,0.98,0.47959183673469385,0.47959183673469385,98,1.25779099008163
barabasi_albert,34,95,0.99,0.4444444444444444,0.0,0,1.25779099008163
barabasi_albert,34,96,0.99,0.3838383838383838,0.3838383838383838,99,1.25779099008163
barabasi_albert,34,97,0.98,0.46938775510204084,0.0,0,1.4727909900816303
barabasi_albert,34,98,0.99,0.41414141414141414,0.0,0,1.4727909900816303
barabasi_albert,34,99,0.86,0.18604651162790697,0.0,0,1.4727909900816303
barabasi_albert,34,100,0.96,0.22916666666666666,0.22916666666666666,96,1.3649309546157848
barabasi_albert,34,101,0.98,0.336734693877551,0.336734693877551,98,1.3649309546157848
